timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime,Connect
1518027367455,1069,Page Eliminar,200,OK,Aqui Usuarios 1-13,text,true,,3843,217,35,35,1069,1,0,0,1
1518027367481,1145,Page Eliminar,200,OK,Aqui Usuarios 1-25,text,true,,3843,217,35,35,1145,1,0,0,1
1518027362391,6263,Insertar,200,OK,Aqui Usuarios 1-32,text,true,,6722,0,35,35,6263,1,0,0,0
1518027367633,1085,Page Eliminar,200,OK,Aqui Usuarios 1-22,text,true,,3844,217,35,35,1085,1,0,0,1
1518027362508,6249,Insertar,200,OK,Aqui Usuarios 1-24,text,true,,6722,0,35,35,6249,1,0,0,0
1518027362615,6218,Insertar,200,OK,Aqui Usuarios 1-29,text,true,,6721,0,35,35,6218,1,0,0,0
1518027362865,5995,Insertar,200,OK,Aqui Usuarios 1-30,text,true,,6722,0,35,35,5995,1,0,0,0
1518027362987,5978,Insertar,200,OK,Aqui Usuarios 1-33,text,true,,6721,0,35,35,5978,1,0,0,0
1518027362968,6033,Insertar,200,OK,Aqui Usuarios 1-20,text,true,,6722,0,35,35,6033,1,0,0,0
1518027368377,711,Page Eliminar,200,OK,Aqui Usuarios 1-23,text,true,,3842,217,35,35,711,1,0,0,1
1518027363083,6015,Eliminar,200,OK,Aqui Usuarios 1-4,text,true,,4356,587,35,35,6015,1,0,0,0
1518027368413,719,Page Eliminar,200,OK,Aqui Usuarios 1-26,text,true,,3844,217,35,35,719,1,0,0,1
1518027368497,712,Page Eliminar,200,OK,Aqui Usuarios 1-28,text,true,,3843,217,35,35,712,1,0,0,0
1518027363580,5697,Insertar,200,OK,Aqui Usuarios 1-31,text,true,,6720,0,35,35,5697,1,0,0,0
1518027363676,5670,Eliminar,200,OK,Aqui Usuarios 1-5,text,true,,4358,590,35,35,5670,1,0,0,0
1518027368653,692,Page Eliminar,200,OK,Aqui Usuarios 1-32,text,true,,3844,217,35,35,692,1,0,0,1
1518027368756,678,Page Eliminar,200,OK,Aqui Usuarios 1-24,text,true,,3843,217,35,35,678,1,0,0,1
1518027363785,5708,Insertar,200,OK,Aqui Usuarios 1-27,text,true,,6722,0,35,35,5708,1,0,0,0
1518027368859,747,Page Eliminar,200,OK,Aqui Usuarios 1-30,text,true,,3841,217,35,35,747,1,0,0,1
1518027368832,811,Page Eliminar,200,OK,Aqui Usuarios 1-29,text,true,,3843,217,35,35,811,1,0,0,0
1518027364223,5424,Eliminar,200,OK,Aqui Usuarios 1-6,text,true,,4355,589,35,35,5424,1,0,0,0
1518027363801,5923,Eliminar,200,OK,Aqui Usuarios 1-3,text,true,,4357,591,35,35,5923,1,0,0,0
1518027368964,819,Page Eliminar,200,OK,Aqui Usuarios 1-33,text,true,,3843,217,35,35,819,1,0,0,0
1518027364347,5438,Eliminar,200,OK,Aqui Usuarios 1-8,text,true,,4356,592,35,35,5438,1,0,0,0
1518027369000,882,Page Eliminar,200,OK,Aqui Usuarios 1-20,text,true,,3844,217,35,35,882,1,0,0,1
1518027369097,813,Page Login,200,OK,Aqui Usuarios 1-4,text,true,,5428,0,35,35,813,1,0,0,0
1518027364526,5466,Eliminar,200,OK,Aqui Usuarios 1-11,text,true,,4357,590,35,35,5466,1,0,0,0
1518027369277,744,Page Eliminar,200,OK,Aqui Usuarios 1-31,text,true,,3843,217,35,35,744,1,0,0,0
1518027369345,756,Page Login,200,OK,Aqui Usuarios 1-5,text,true,,5428,0,35,35,756,1,0,0,0
1518027369493,650,Page Eliminar,200,OK,Aqui Usuarios 1-27,text,true,,3844,217,35,35,650,1,0,0,0
1518027364770,5416,Eliminar,200,OK,Aqui Usuarios 1-9,text,true,,4357,591,35,35,5416,1,0,0,0
1518027369653,645,Page Login,200,OK,Aqui Usuarios 1-6,text,true,,5428,0,35,35,645,1,0,0,0
